Name,Authors,Price,Image-url,Rating,NumberOfPages,Format,Publication date,Publisher,Language,ISBN10,ISBN13,Publication City,Publication Country,Width,Height,Thickness,Weight,Year,Month
The Next Wave AI Self-Driving Cars : Practical Innovations in AI and Machine Learning,Lance Eliot,973.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5784/9780578415109.jpg,,280.0,Paperback,2018-11-06,Lbe Press Publishing,English,0578415100,9780578415109,,,152.0,229.0,16.0,413.0,2018,11
Image Quality Assessment of Computer-generated Images : Based on Machine Learning and Soft Computing,"Andre Bigand, Julien Dehos, Christophe Renaud, Joseph Constantin",1407.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3197/9783319735429.jpg,,88.0,Paperback,2018-04-24,Springer,English,331973542X,9783319735429,Cham,Switzerland,155.0,235.0,5.59,1708.0,2018,4
Transformative Artificial Intelligence (AI) Driverless Self-Driving Cars : Practical Advances in AI and Machine Learning,Lance Eliot,973.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6920/9780692085967.jpg,,280.0,Paperback,2018-03-09,Lbe Press Publishing,English,0692085963,9780692085967,,,152.0,229.0,16.0,413.0,2018,3
State-of-the-Art AI Driverless Self-Driving Cars : Practical Adbances in Machine Learning and AI,Lance Eliot,951.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6921/9780692132173.jpg,,230.0,Paperback,2018-05-28,Lbe Press Publishing,English,0692132171,9780692132173,,,152.0,229.0,13.0,340.0,2018,5
Brain-computer Interaction : A Machine Learning Based Study and Analysis,"Sanjay Chakraborty, Debashis Das Chakladar",981.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9786/2021/9786202197397.jpg,,88.0,Paperback,2018-01-05,LAP Lambert Academic Publishing,English,6202197390,9786202197397,,,150.0,220.0,5.0,147.0,2018,1
AI Innovations and Self-Driving Cars : Practical Advances in AI and Machine Learning,Lance Eliot,945.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6921/9780692161753.jpg,,218.0,Paperback,2018-07-24,Lbe Press Publishing,English,0692161759,9780692161753,,,152.0,229.0,13.0,327.0,2018,7
Covid-19 : Validation of Disease by Machine Learning Approach,"Samir Kumar Bandyopadhyay, Shawni Dutta",1404.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9786/2025/9786202529129.jpg,,92.0,Paperback,2020-05-05,LAP Lambert Academic Publishing,English,6202529121,9786202529129,,,152.0,229.0,6.0,145.0,2020,5
Leading Edge Trends for AI Driverless Cars : Practical Innovations in AI and Machine Learning,Lance Eliot,973.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6920/9780692042403.jpg,,266.0,Paperback,2018-10-03,Lbe Press Publishing,English,0692042407,9780692042403,,,152.0,229.0,15.0,395.0,2018,10
Learn Python Fast : This Book Includes: Python Machine Learning and Data Science. The Complete Starter Guide for Total Beginners + Practical Exercises,Computer Programming Academy,666.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9141/9781914185137.jpg,,200.0,Paperback,2020-11-15,Wiomy Ltd,English,1914185137,9781914185137,,,152.0,229.0,11.0,272.0,2020,11
"Learn Python Programming : A Beginners Crash Course on Python Language for Getting Started with Machine Learning, Data Science and Data Analytics",Russel R Russo,578.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8011/9781801118606.jpg,,200.0,Paperback,2020-10-30,Zanshin Honya Ltd,English,1801118604,9781801118606,,,152.0,229.0,11.0,272.0,2020,10
Learn Python Fast : This Book Includes: Python Programming and Machine Learning. The Complete Starter Guide for Total Beginners + Practical Exercises,Computer Programming Academy,718.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9141/9781914185151.jpg,,274.0,Paperback,2020-11-24,Wiomy Ltd,English,1914185153,9781914185151,,,152.0,229.0,15.0,367.0,2020,11
